altitude_ft,density_slug_ft3
253.10395,0.0019387722484370336
749.83915,0.0019093020642708593
1249.9789999999998,0.0018795328998329722
1748.4470000000001,0.001849834799968121
2252.8075,0.0018199071446941928
2749.6440000000002,0.0017905926851205455
3250.312,0.0017607645243819877
3751.108,0.0017310906837344436
4255.022,0.0017013088392841766
4750.508,0.001671819010624159
5262.21,0.0016417852854340202
5755.87,0.0016128487986313803
6253.928,0.0015833043954918188
6751.5740000000005,0.0015536989592171487
7250.074500000001,0.0015240788057455476
7750.134,0.0014942890554678712
8251.359499999999,0.0014645295427437302
8750.979,0.0014385629208731733
9252.018,0.0014232089400541467
9750.9825,0.0013996777035971734
10251.295,0.0013764057336155505
10745.04,0.0013534830452759023
11251.61,0.0013304514518121583
11746.355,0.001308104250410739
12250.11,0.0012858671692103124
12746.92,0.0012641164601361202
13250.54,0.0012424142835732693
13743.075,0.001221484169380439
14251.560000000001,0.0011999590507662723
14742.41,0.001179577065405417
15251.625,0.0011588192114720692
15751.44,0.001138639572504809
16252.355,0.0011187416594396783
16753.324999999997,0.0010991167472075459
17256.265,0.001079694512942195
17764.5,0.0010604029346065627
18224.0,0.0010430461890731835
18751.36,0.0010234683869256242
19249.935,0.001005042403953944
19751.055,0.0009869969285642452
20250.36,0.0009691915215041384
20752.08,0.0009516585613749401
21252.52,0.0009343394060486411
21751.88,0.0009173501751788731
22253.77,0.0009005935358604191
22755.12,0.0008841204912538682
23263.370000000003,0.000868015338068441
23738.92,0.000851329739802972
24251.4,0.000835034262128572
24751.01,0.0008193880060173905
25249.79,0.0008039647652177955
25751.43,0.0007886969711891511
26250.065000000002,0.0007737446057531313
26752.68,0.0007588890939298285
27250.705,0.0007444841574407994
27752.93,0.0007301430697380229
28250.025,0.0007161535439883594
28751.215,0.000706165091776651
29254.02,0.0007029416107313094
29751.120000000003,0.0006893073227913007
30251.1,0.00067556034243964
30750.855,0.0006618040881764783
31251.589999999997,0.0006480052684854334
31750.91,0.0006342514697273889
32249.375,0.0006205265361252842
32751.62,0.0006067118648488995
33254.28,0.0005928709579296703
33752.655,0.000579157817199926
34252.06,0.0005653567077510359
34754.98,0.0005515220748173441
35257.515,0.0005376954222527579
35767.01,0.0005236497627115058
36232.869999999995,0.0005107564985508658
36750.770000000004,0.0004965878373932205
37250.02,0.00048275742967500976
37750.12,0.0004688931291930341
38251.06,0.0004551652734321899
38748.01,0.00044145322343263043
39249.915,0.00043285810957462313
39751.66,0.00042256713906460846
40249.48,0.0004126147934843543
40749.39,0.00040286679355164355
41250.42,0.0003933176391967678
41750.52,0.00038402652619240056
42249.95,0.0003749341811776688
42752.48,0.00036604634750092536
43252.125,0.0003574170549527475
43750.19,0.000348970918575499
44250.024999999994,0.00034071969801232867
44751.619999999995,0.00033267732580035227
45250.655,0.00032484212032942366
45751.8,0.00031713313146649946
46252.8,0.00030962292716928434
46752.455,0.0003023096207308881
47251.11,0.0002951806017334885
47750.74,0.0002881774312715583
48253.005000000005,0.0002813578158911722
48749.630000000005,0.00027473531876847496
49250.21,0.00026825974667672037
49749.92,0.00026192423297252774
50250.51,0.00025570915557826724
50750.28,0.0002496640491677853
51249.04,0.00024377911877439303
51751.25,0.0002379941156051865
52251.66,0.00023236341652922642
52751.345,0.00022687803910037
53250.595,0.00022151073651025118
53750.13,0.00021628066385165362
54250.725000000006,0.0002111731666223028
54751.19,0.00020617792066573027
55252.67,0.00020129693642553312
55751.58500000001,0.00019654793477941619
56251.275,0.00019190555566682096
56751.68,0.00018736560990929233
57252.585,0.0001829326073893836
57751.055,0.00017860969790240366
58252.44,0.00017438286869783223
58752.86,0.0001702622951283217
59253.35,0.00016623417199701154
59754.205,0.00016229925531012317
60255.15,0.00015845907957038965
60756.44,0.00015470856072540882
61260.84,0.00015102139642973663
61733.53,0.00014763732521263053
62255.505,0.00014399856499450146
62757.33,0.0001405820558233209
63261.63,0.00013723186030153406
63716.36,0.0001342854521270136
64263.19,0.00013081554589157175
64749.14,0.00012781679672805755
65156.395000000004,0.00012530699339756364
65754.465,0.00012181321861415713
66255.195,0.00011892622913897948
66756.83,0.00011610337593212673
67259.73,0.00011335188995927597
67765.285,0.00011064484171801513
68093.38,0.00010880320722245821
68752.01000000001,0.000105542252257745
69252.78,0.00010304435203592734
69751.38,0.00010060424282179104
70253.12,9.823066636129383e-05
70754.84,9.590314650485213e-05
71252.74,9.364499719218859e-05
71752.27,9.143222333101751e-05
72254.26000000001,8.926551159595122e-05
72756.98,8.714876340763134e-05
73258.04,8.508216884813641e-05
73761.59,8.305748650358003e-05
74266.18,8.10751352541982e-05
74589.61,7.983320250520484e-05
