Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,121.966,0,0,115.263,126.458,1.829256,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5016742,0,1412.906,121.966,0,0,115.2312,126.458,1.834453,340.591659134358,340.032607059588,19.5065221952733,3.40591651962513,3.400326,0.1950652,87,87,0.01700163,0.000975326
0.02,B,0.02,0.010,0,0.5016741,0,1413.953,121.9026,0.001161414,0,115.1994,126.458,1.839651,341.061150946144,340.501461165703,19.5310938948653,6.81652842081518,6.805341,0.3903762,87,87,0.06802996,0.003902533
0.03,B,0.03,0.010,0,0.5016739,0,1414.999,121.8322,0.004652053,0,115.1676,126.458,1.844848,341.552256100877,340.9918992469,19.5567966597682,10.2320509891546,10.21526,0.5859442,87,87,0.153133,0.008784135
0.04,B,0.04,0.010,0,0.5016736,0,1416.041,121.7617,0.01048195,0,115.1358,126.458,1.850045,342.042517418308,341.481494619696,19.5824552636333,13.6524712222122,13.63007,0.7817687,87,87,0.2723596,0.0156227
0.05,B,0.05,0.01166836,0,0.5173042,0,1417.068,121.6911,0.01924254,0,115.104,126.458,1.855243,342.528565171935,341.966882135116,19.6078933476267,17.0777580481094,17.04974,0.9778476,87,87,0.4257587,0.02442078
0.05999999,B,0.05999999,0.01459586,0,0.5337608,0,1418.094,121.6205,0.03106706,0,115.0722,126.458,1.86044,343.014572842227,342.45222960481,19.6333293363651,20.507901490205,20.47426,1.174181,87,87,0.6133786,0.03518092
0.06999999,B,0.06999999,0.01752751,0,0.5426913,0,1419.121,121.5499,0.0455496,0,115.0403,126.458,1.865638,343.500641748742,342.937638216785,19.6587684276323,23.9429115390437,23.90364,1.370769,87,87,0.8352681,0.04790567
0.07999999,B,0.07999999,0.02046333,0,0.547649,0,1420.141,121.4792,0.06265309,0,115.0085,126.458,1.870835,343.984644635676,343.420983593084,19.6840994991128,27.3827581484089,27.33785,1.56761,87,87,1.091476,0.06259757
0.08999999,B,0.08999999,0.02340329,0,0.5503302,0,1421.148,121.4084,0.08234946,0,114.9767,126.458,1.876032,344.46555282989,343.90123846438,19.709268608133,30.8274113130277,30.77686,1.764703,87,87,1.382049,0.07925913
