Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,123.519,0,0,115.777,126.458,1.745269,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5026219,0,1359.654,123.519,0,0,115.7486,126.458,1.749916,322.034756775999,321.500896760226,18.535316402686,3.22034760243975,3.215009,0.1853532,87,87,0.01607504,0.000926766
0.02,B,0.02,0.010,0,0.5026218,0,1360.816,123.4582,0.001040265,0,115.7201,126.458,1.754562,322.511669380433,321.977162273018,18.5602764302753,6.44546466969486,6.434781,0.3709559,87,87,0.06432399,0.003708312
0.03,B,0.03,0.010,0,0.5026217,0,1361.978,123.3906,0.004167218,0,115.6917,126.458,1.759209,323.008089749082,322.472909061901,18.5862574098712,9.67554547638671,9.65951,0.5568185,87,87,0.1447954,0.008347183
0.04,B,0.04,0.010,0,0.5026214,0,1363.141,123.323,0.00939047,0,115.6632,126.458,1.763856,323.504716095653,322.96886152824,18.6122491730934,12.9105940220445,12.8892,0.742941,87,87,0.257539,0.01484598
0.05,B,0.05,0.0110343,0,0.5130335,0,1364.289,123.2553,0.01706601,0,115.6348,126.458,1.768503,323.997983372227,323.461459461881,18.6380651372363,16.1505692632899,16.12381,0.9293216,87,87,0.402604,0.02320729
0.05999999,B,0.05999999,0.01380342,0,0.5312227,0,1365.43,123.1875,0.02765314,0,115.6064,126.458,1.77315,324.488924250888,323.95173413409,18.663759348378,19.3954611516797,19.36333,1.115959,87,87,0.5800397,0.03343369
0.06999999,B,0.06999999,0.01657674,0,0.5412976,0,1366.57,123.1197,0.04063741,0,115.5779,126.458,1.777796,324.979988956295,324.442132444769,18.6894600436866,22.6452597347981,22.60775,1.302854,87,87,0.7898951,0.04552776
0.07999999,B,0.07999999,0.01935426,0,0.5470595,0,1367.711,123.0518,0.05598558,0,115.5495,126.458,1.782443,325.471187120075,324.932664012548,18.7151677272607,25.8999749790813,25.85708,1.490006,87,87,1.032219,0.05949206
0.08999999,B,0.08999999,0.02213599,0,0.5503324,0,1368.847,122.9838,0.07367284,0,115.5211,126.458,1.78709,325.961322288559,325.42213400762,18.7408197801607,29.1595868492259,29.1113,1.677414,87,87,1.307061,0.07532915
0.09999999,B,0.09999999,0.02492191,0,0.5520827,0,1369.965,122.9159,0.09368001,0,115.4926,126.458,1.791737,326.44688360916,325.907036342475,18.7662324561276,32.4240553019005,32.37037,1.865076,87,87,1.61447,0.09304161
0.11,B,0.11,0.02771199,0,0.5528615,0,1371.083,122.8478,0.1159918,0,115.4642,126.458,1.796384,326.932590127968,326.392083659018,18.7916527348413,35.6933803441097,35.63429,2.052992,87,87,1.954493,0.1126319
0.12,B,0.12,0.03050623,0,0.5530014,0,1372.202,122.7797,0.1405961,0,115.4357,126.458,1.80103,327.418403063212,326.877237234261,18.8170784810074,38.9675620102803,38.90306,2.241163,87,87,2.32718,0.1341027
0.13,B,0.13,0.03330463,0,0.5527117,0,1373.321,122.7115,0.1674835,0,115.4073,126.458,1.805677,327.904398622759,327.362573160619,18.8425138931014,42.246610249722,42.17669,2.429588,87,87,2.732578,0.1574565
0.14,B,0.14,0.0361072,0,0.5521291,0,1374.417,122.6433,0.1966462,0,115.3789,126.458,1.810324,328.384721608402,327.842244193432,18.8676524252965,45.5304550413201,45.45511,2.618265,87,87,3.170737,0.1826957
0.15,B,0.15,0.03891388,0,0.5513455,0,1375.514,122.575,0.2280779,0,115.3504,126.458,1.814971,328.86521734833,328.322087733413,18.8927998967241,48.8191063412419,48.73833,2.807193,87,87,3.641705,0.209823
0.16,B,0.16,0.04172468,0,0.5504237,0,1376.611,122.5067,0.2617737,0,115.322,126.458,1.819617,329.345823596851,328.802041607284,18.917953260584,52.1125641222142,52.02635,2.996372,87,87,4.145528,0.2388408
0.17,B,0.17,0.0445396,0,0.5494081,0,1377.708,122.4383,0.2977299,0,115.2935,126.458,1.824264,329.826574525131,329.282139952039,18.9431140942534,55.4108284529248,55.31917,3.185803,87,87,4.682255,0.2697517
0.18,B,0.18,0.04735864,0,0.5483299,0,1378.788,122.3699,0.3359438,0,115.2651,126.458,1.828911,330.302708235124,329.757627321832,18.9680333860253,58.7138592351848,58.61675,3.375483,87,87,5.251935,0.3025581
