Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,124.073,0,0,115.957,126.458,1.715857,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.503748,0,1333.423,124.073,0,0,115.9289,126.458,1.720445,313.651207828367,313.128719664618,18.0965492122239,3.13651188230937,3.131287,0.1809655,87,87,0.01565644,0.0009048275
0.02,B,0.02,0.010,0,0.5037479,0,1334.612,124.0131,0.0009890185,0,115.9008,126.458,1.725032,314.126757701654,313.6036246438,18.1214379789295,6.2777792148213,6.267323,0.3621799,87,87,0.06264949,0.003620555
0.03,B,0.03,0.010,0,0.5037478,0,1335.802,123.9464,0.003962067,0,115.8728,126.458,1.72962,314.621030930567,314.097227573475,18.1473065348517,9.42398925104144,9.408295,0.543653,87,87,0.1410276,0.008149719
0.04,B,0.04,0.010,0,0.5037475,0,1336.992,123.8797,0.008928489,0,115.8447,126.458,1.734208,315.115541491194,314.591067484509,18.1731876192851,12.5751390004301,12.5542,0.7253849,87,87,0.25084,0.01449491
0.05,B,0.05,0.0107476,0,0.511531,0,1338.173,123.8129,0.01614328,0,115.8166,126.458,1.738795,315.607899354541,315.082757595504,18.1989560414572,15.7312204094293,15.70503,0.9073744,87,87,0.3921362,0.02265871
0.05999999,B,0.05999999,0.01344501,0,0.5305706,0,1339.342,123.7461,0.02620356,0,115.7885,126.458,1.743383,316.096774103424,315.570969300091,18.2245420681049,18.8921884671755,18.86074,1.08962,87,87,0.564965,0.03264368
0.06999999,B,0.06999999,0.01614661,0,0.5412088,0,1340.51,123.6792,0.03854955,0,115.7605,126.458,1.747971,316.585806919169,316.059338829442,18.2501364750324,22.0580431291391,22.02133,1.272121,87,87,0.7693753,0.04445238
0.07999999,B,0.07999999,0.01885238,0,0.5473673,0,1341.678,123.6122,0.0531496,0,115.7324,126.458,1.752558,317.074999531981,316.547867923533,18.2757391443314,25.228794420092,25.18681,1.454878,87,87,1.005416,0.05808738
0.08999999,B,0.08999999,0.02156235,0,0.5509324,0,1342.847,123.5452,0.06998023,0,115.7043,126.458,1.757146,317.564366597876,317.036571206532,18.3013510516465,28.4044423951907,28.35718,1.637892,87,87,1.273136,0.07355122
