Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,117.395,0,0,113.671,126.458,2.089387,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5033426,0,1560.213,117.395,0,0,113.6321,126.458,2.095745,395.475177200989,394.84148604046,22.3789339226733,3.95475190941623,3.948415,0.2237893,87,87,0.01974208,0.001118946
0.02,B,0.02,0.010,0,0.5033425,0,1560.495,117.3173,0.001571084,0,113.5932,126.458,2.102103,395.835524393599,395.201342648116,22.397793219008,7.9131077237532,7.900429,0.4477672,87,87,0.07898629,0.004476729
0.03,B,0.03,0.010,0,0.5033423,0,1560.774,117.2309,0.006290048,0,113.5543,126.458,2.108462,396.226166574266,395.591452992095,22.4182380605873,11.8753658678021,11.85634,0.6719496,87,87,0.1777701,0.01007531
0.04,B,0.04,0.01014952,0,0.5050161,0,1561.039,117.1445,0.01421328,0,113.5154,126.458,2.11482,396.612604714451,395.97736501223,22.4384628785611,15.8414882659026,15.81611,0.8963342,87,87,0.3161324,0.01791673
0.05,B,0.05,0.01353925,0,0.5306461,0,1561.304,117.0581,0.02657603,0,113.4764,126.458,2.121178,396.998415650414,396.362650675224,22.4586548717798,19.8114759266221,19.77974,1.120921,87,87,0.4941116,0.02800301
0.05999999,B,0.05999999,0.01693229,0,0.5429466,0,1561.562,116.9717,0.04252865,0,113.4375,126.458,2.127536,397.381959104576,396.745671943033,22.4787280837305,23.785298776663,23.7472,1.345708,87,87,0.7117463,0.04033615
0.06999999,B,0.06999999,0.02032861,0,0.549149,0,1561.809,116.8853,0.06200052,0,113.3986,126.458,2.133894,397.762226532317,397.125421631837,22.4986299512196,27.7629168127024,27.71845,1.570694,87,87,0.9690746,0.05491816
0.07999999,B,0.07999999,0.02372819,0,0.5521984,0,1562.056,116.7989,0.08493953,0,113.3597,126.458,2.140252,398.142158167115,397.504835978316,22.5185142454023,31.744340025516,31.6935,1.795879,87,87,1.266134,0.07175103
0.08999999,B,0.08999999,0.02713103,0,0.5534816,0,1562.289,116.7124,0.1113055,0,113.3208,126.458,2.14661,398.517801162201,397.879967523997,22.5381739779207,35.7295183738362,35.6723,2.021261,87,87,1.602963,0.09083673
