Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,123.965,0,0,116.117,126.458,1.689714,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5058943,0,1394.027,123.965,0,0,116.091,126.458,1.693956,329.681674960307,329.137437081565,18.9355305183712,3.29681637903731,3.291374,0.1893553,87,87,0.01645687,0.0009467765
0.02,B,0.02,0.010,0,0.5058942,0,1394.869,123.9011,0.001097353,0,116.0651,126.458,1.698197,330.086483499954,329.541696109908,18.9567168668632,6.59768125426091,6.586791,0.3789225,87,87,0.06584769,0.003788165
0.03,B,0.03,0.010,0,0.5058941,0,1395.711,123.8301,0.004394797,0,116.0391,126.458,1.702439,330.512082491359,329.966717353611,18.9789913234901,9.90280090792009,9.886457,0.5687124,87,87,0.1482139,0.00852634
0.04,B,0.04,0.010,0,0.5058938,0,1396.552,123.759,0.009900812,0,116.0132,126.458,1.706681,330.937710328552,330.391767395533,19.0012671882882,13.2121733391432,13.19037,0.758725,87,87,0.2635981,0.01516353
0.05,B,0.05,0.01129205,0,0.518521,0,1397.394,123.6879,0.01806379,0,115.9872,126.458,1.710922,331.363355430507,330.816834658439,19.0235440634917,16.5258085435149,16.49854,0.9489604,87,87,0.4120426,0.02370195
0.05999999,B,0.05999999,0.01412412,0,0.5359759,0,1398.206,123.6167,0.02921208,0,115.9612,126.458,1.715164,331.781096636774,331.234008741722,19.0454072781131,19.8436194524894,19.81088,1.139415,87,87,0.5935897,0.03414383
0.06999999,B,0.06999999,0.01695977,0,0.5455672,0,1399.019,123.5455,0.04287259,0,115.9353,126.458,1.719406,332.198779955311,331.651125008139,19.0672673614386,23.165606021673,23.12739,1.330088,87,87,0.8082811,0.04649135
0.07999999,B,0.07999999,0.01979898,0,0.5509906,0,1399.831,123.4743,0.05900901,0,115.9093,126.458,1.723647,332.61647477983,332.068252745312,19.0891281528778,26.4917682306367,26.44807,1.520979,87,87,1.056158,0.06074668
0.08999999,B,0.08999999,0.02264178,0,0.5540158,0,1400.643,123.403,0.07759389,0,115.8834,126.458,1.727889,333.034160821861,332.485371704304,19.1109883829194,29.8221061273936,29.77292,1.712089,87,87,1.337263,0.07691202
0.09999999,B,0.09999999,0.02548815,0,0.5555786,0,1401.45,123.3316,0.09860566,0,115.8574,126.458,1.73213,333.450272593026,332.900918516302,19.1327662235726,33.1566096874728,33.10193,1.903417,87,87,1.651637,0.09498955
0.11,B,0.11,0.02833809,0,0.556212,0,1402.233,123.2603,0.1220271,0,115.8315,126.458,1.736372,333.86012647827,333.310215919714,19.1542166543112,36.4952087868936,36.43503,2.094959,87,87,1.999322,0.1149814
0.12,B,0.12,0.03119154,0,0.5562364,0,1403.015,123.1889,0.1478435,0,115.8055,126.458,1.740614,334.269923039081,333.719456069594,19.175663982434,39.8379034804978,39.77222,2.286716,87,87,2.380358,0.1368898
