Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,121.172,0,0,115.194,126.458,1.84053,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5010293,0,1290.425,121.172,0,0,115.1614,126.458,1.845852,310.512639115405,309.994406624281,17.9322868612417,3.10512632674135,3.099944,0.1793229,87,87,0.01549972,0.0008966145
0.02,B,0.02,0.010,0,0.5010292,0,1291.791,121.1151,0.0009640928,0,115.1289,126.458,1.851174,311.036222526763,310.517280161907,17.9596894341107,6.21548875037503,6.205117,0.3589198,87,87,0.06202503,0.003587828
0.03,B,0.03,0.010,0,0.501029,0,1293.153,121.0517,0.00386287,0,115.0963,126.458,1.856496,311.577135300137,311.057459535926,17.9879990242308,9.33126050903132,9.315692,0.5387998,87,87,0.1396291,0.008076426
0.04,B,0.04,0.010,0,0.5010288,0,1294.514,120.9883,0.008706403,0,115.0637,126.458,1.861818,312.117871486831,311.597462535015,18.016299376123,12.4524425909243,12.43167,0.7189628,87,87,0.2483659,0.01436524
0.05,B,0.05,0.01064273,0,0.5078045,0,1295.867,120.9249,0.01571447,0,115.0311,126.458,1.867141,312.656651911553,312.13551239658,18.044497373611,15.5790139727899,15.55303,0.8994077,87,87,0.3882894,0.02245709
0.05999999,B,0.05999999,0.01331492,0,0.5271719,0,1297.221,120.8614,0.02553434,0,114.9986,126.458,1.872463,313.195544293501,312.67367403636,18.0727012343543,18.7109726856953,18.67977,1.080135,87,87,0.5594534,0.0323548
0.06999999,B,0.06999999,0.01599173,0,0.5380262,0,1298.574,120.7978,0.0375912,0,114.966,126.458,1.877784,313.734605287517,313.212004032489,18.1009139234954,21.8483186919912,21.81189,1.261144,87,87,0.7619117,0.0440612
0.07999999,B,0.07999999,0.01867313,0,0.5443355,0,1299.92,120.7341,0.05185495,0,114.9334,126.458,1.883107,314.271870338319,313.748540494026,18.1290326221132,24.9910419569491,24.94938,1.442434,87,87,0.995718,0.05757909
0.08999999,B,0.08999999,0.02135915,0,0.5480108,0,1301.261,120.6704,0.06830338,0,114.9009,126.458,1.888429,314.807983771304,314.283926872912,18.1570910526828,28.1391225278739,28.09222,1.624005,87,87,1.260926,0.07291128
0.09999999,B,0.09999999,0.02404974,0,0.5500671,0,1302.603,120.6066,0.08691957,0,114.8683,126.458,1.893751,315.344382012965,314.819597647822,18.1851643930563,31.2925703814093,31.24042,1.805857,87,87,1.557589,0.09006059
0.11,B,0.11,0.02674494,0,0.5510851,0,1303.944,120.5427,0.1076906,0,114.8357,126.458,1.899073,315.880972136783,315.35546001836,18.2132477797795,34.4513754793845,34.39397,1.987989,87,87,1.885761,0.1090298
0.12,B,0.12,0.02944471,0,0.5514156,0,1305.273,120.4788,0.1306065,0,114.8032,126.458,1.904395,316.414380256203,315.888144680342,18.2411645277475,37.6155178622003,37.55285,2.170401,87,87,2.245495,0.1298218
0.13,B,0.13,0.03214906,0,0.5512807,0,1306.602,120.4148,0.1556591,0,114.7706,126.458,1.909717,316.948047089291,316.4210876732,18.2690949262484,40.784997447507,40.71706,2.353092,87,87,2.636845,0.1524392
0.14,B,0.14,0.03485798,0,0.5508257,0,1307.931,120.3507,0.1828427,0,114.738,126.458,1.915039,317.481924694598,316.954241132936,18.2970362526513,43.9598142630165,43.8866,2.536062,87,87,3.059863,0.176885
0.15,B,0.15,0.03757148,0,0.5501481,0,1309.256,120.2866,0.2121526,0,114.7054,126.458,1.920361,318.014695016936,317.486288780022,18.3249197379819,47.1399583118232,47.06146,2.719311,87,87,3.514603,0.2031619
0.16,B,0.16,0.04028953,0,0.5493158,0,1310.572,120.2224,0.2435855,0,114.6729,126.458,1.925683,318.545621124258,318.016494694689,18.3527065999053,50.3254095724072,50.24162,2.902838,87,87,4.001119,0.2312726
0.17,B,0.17,0.04301213,0,0.548376,0,1311.889,120.1581,0.277139,0,114.6403,126.458,1.931005,319.076834130293,318.546987087689,18.3805085883493,53.5161780283087,53.42709,3.086643,87,87,4.519462,0.26122
0.18,B,0.18,0.0457393,0,0.5473626,0,1313.207,120.0938,0.3128117,0,114.6077,126.458,1.936327,319.608272575735,319.07770459559,18.4083222715866,56.7122636797218,56.61787,3.270726,87,87,5.069687,0.2930068
0.19,B,0.19,0.04847101,0,0.5463004,0,1314.514,120.0294,0.3506031,0,114.5752,126.458,1.941649,320.137219861062,319.60593429202,18.4360056871043,59.9136365217689,59.81393,3.455086,87,87,5.651846,0.3266359
0.2,B,0.2,0.05120727,0,0.5452071,0,1315.819,119.965,0.3905131,0,114.5426,126.458,1.946971,320.665704725703,320.13370217691,18.4636647970253,63.1202965546321,63.01527,3.639723,87,87,6.265992,0.3621099
0.21,B,0.21,0.05394806,0,0.544096,0,1317.124,119.9004,0.4325418,0,114.51,126.458,1.952293,321.194458069323,320.661738152238,18.4913379621856,66.3322437097588,66.22189,3.824636,87,87,6.912178,0.3994317
0.22,B,0.22,0.05669339,0,0.5429769,0,1318.424,119.8359,0.4766909,0,114.4774,126.458,1.957615,321.722069541702,321.188633775237,18.5189514765842,69.549468086455,69.43378,4.009826,87,87,7.590456,0.4386041
0.23,B,0.23,0.05944324,0,0.5418572,0,1319.716,119.7712,0.5229614,0,114.4449,126.458,1.962937,322.247863439794,321.713714272322,18.5464697616166,72.7719495669604,72.65092,4.195291,87,87,8.30088,0.4796296
0.24,B,0.24,0.06219759,0,0.5407423,0,1321.009,119.7065,0.5713549,0,114.4123,126.458,1.968259,322.77390220194,322.23903927755,18.5740008654329,75.9996881789511,75.87331,4.381031,87,87,9.043502,0.5225112
0.25,B,0.25,0.06495647,0,0.5396361,0,1322.302,119.6417,0.621874,0,114.3797,126.458,1.973581,323.300153455682,322.76457646247,18.6015430937783,79.2326839775792,79.10095,4.567047,87,87,9.818373,0.5672516
0.26,B,0.26,0.06771986,0,0.5385417,0,1323.585,119.5769,0.6745213,0,114.3472,126.458,1.978903,323.823848739149,323.287561121968,18.6289515551859,82.4709168038781,82.33382,4.753336,87,87,10.62555,0.6138535
0.27,B,0.27,0.07048775,0,0.5374612,0,1324.865,119.512,0.7292992,0,114.3146,126.458,1.984225,324.347031536118,323.810033967276,18.6563331982257,85.7143767571089,85.57191,4.939899,87,87,11.46508,0.6623197
0.28,B,0.28,0.07326011,0,0.5363963,0,1326.145,119.447,0.7862108,0,114.282,126.458,1.989547,324.870480210259,324.33277230593,18.683728760454,88.9630738208226,88.81523,5.126736,87,87,12.33701,0.7126529
0.29,B,0.29,0.07603699,0,0.535348,0,1327.423,119.382,0.8452594,0,114.2495,126.458,1.994869,325.393448451178,324.855030840457,18.7110991819068,92.2170079677188,92.06378,5.313847,87,87,13.24141,0.7648558
0.3,B,0.3,0.07881836,0,0.534317,0,1328.691,119.3169,0.9064494,0,114.2169,126.458,2.000191,325.913696844976,325.37457319632,18.7383272591654,95.4761491379211,95.31753,5.50123,87,87,14.17831,0.8189312
0.31,B,0.31,0.08160421,0,0.5333039,0,1329.958,119.2517,0.969783,0,114.1843,126.458,2.005513,326.434197125861,325.894367081232,18.7655684147498,98.74048740317,98.57647,5.688885,87,87,15.14778,0.8748817
0.32,B,0.32,0.08439452,0,0.5323087,0,1331.226,119.1865,1.035264,0,114.1517,126.458,2.010835,326.954892533548,326.414355799568,18.7928198942424,102.010022736158,101.8406,5.876813,87,87,16.14987,0.9327102
0.33,B,0.33,0.0871893,0,0.5313317,0,1332.486,119.1212,1.102898,0,114.1192,126.458,2.016157,327.47374082664,326.932499888059,18.8199747060904,105.284735115329,105.1099,6.065012,87,87,17.18462,0.9924194
0.3399999,B,0.3399999,0.08998854,0,0.5303727,0,1333.74,119.0559,1.172687,0,114.0866,126.458,2.021479,327.991342838932,327.449399365356,18.8470642953614,108.564654518506,108.3844,6.253483,87,87,18.25209,1.054012
0.3499999,B,0.3499999,0.09279224,0,0.5294317,0,1334.995,118.9905,1.244638,0,114.054,126.458,2.026801,328.509093672003,327.966447445896,18.8741615686386,111.849780918405,111.6641,6.442225,87,87,19.35233,1.11749
0.3599999,B,0.3599999,0.09560044,0,0.5285084,0,1336.25,118.925,1.318754,0,114.0215,126.458,2.032123,329.027101829063,328.48375247322,18.9012724213167,115.140014453736,114.9489,6.631238,87,87,20.4854,1.182858
0.3699999,B,0.3699999,0.09841302,0,0.5276024,0,1337.492,118.8595,1.395038,0,113.9889,126.458,2.037445,329.541657350104,328.997609535871,18.9282024697543,118.435454848816,118.2389,6.82052,87,87,21.65134,1.250117
0.3799999,B,0.3799999,0.1012301,0,0.5267136,0,1338.734,118.7939,1.473497,0,113.9563,126.458,2.042767,330.056432855313,329.511686256607,18.9551441435103,121.736002269797,121.534,7.010071,87,87,22.8502,1.31927
0.3899999,B,0.3899999,0.1040516,0,0.5258415,0,1339.976,118.7282,1.554133,0,113.9237,126.458,2.048089,330.578785426717,329.916671338802,20.9122774208846,125.041738049175,124.833166639646,7.21919376953459,86.69023,86.69023,24.09853,1.390416
0.3999999,B,0.3999999,0.1068775,0,0.5249858,0,1341.212,118.6625,1.636954,0,113.8912,126.458,2.053411,331.092541143844,330.426163906444,20.9957378331861,128.352611163153,128.137428204854,7.42915114317354,86.68182,86.68182,25.37991,1.463658
0.4099999,B,0.4099999,0.1097079,0,0.5241461,0,1342.441,118.5967,1.721962,0,113.8586,126.458,2.058733,331.604351483155,330.933776940912,21.077979082122,131.668602206946,131.446765900294,7.63993092928346,86.67361,86.67361,26.69437,1.539003
0.4199999,B,0.4199999,0.1125426,0,0.523322,0,1343.67,118.5309,1.809164,0,113.826,126.458,2.064055,332.116245481585,331.441533026531,21.1591752629294,134.989712020596,134.761181156476,7.85152267718331,86.66557,86.66557,28.04199,1.61646
0.4299999,B,0.4299999,0.1153818,0,0.522513,0,1344.9,118.465,1.898564,0,113.7935,126.458,2.069377,332.628348809286,331.949555346236,21.2393770395577,138.315942699197,138.080676635742,8.06391644283152,86.65771,86.65771,29.42279,1.696038
0.4399998,B,0.4399998,0.1182254,0,0.5218123,0,1346.118,118.399,1.990524,0,113.7609,126.458,2.074699,333.137587199483,332.45477227393,21.3184520400218,141.647265588107,141.405224284172,8.27710095846669,86.65003,86.65003,30.83685,1.777743
0.4499998,B,0.4499998,0.1210734,0,0.5217934,0,1347.334,118.333,2.087396,0,113.7283,126.458,2.080021,333.645483553042,332.958701741269,21.3965331330121,144.983667295397,144.734811227163,8.49106628501431,86.64252,86.64252,32.28419,1.861583
0.4599998,B,0.4599998,0.1239258,0,0.5217746,0,1348.55,118.2669,2.186712,0,113.6957,126.458,2.085343,334.15354079786,333.462841811691,21.4737504553391,148.32514943811,148.069439570745,8.70580378476794,86.63515,86.63515,33.76489,1.947568
0.4699998,B,0.4699998,0.1267825,0,0.5217557,0,1349.763,118.2008,2.288484,0,113.6632,126.458,2.090665,334.660956649471,333.966389809294,21.5500900992523,151.671705562482,151.409103394191,8.92130468094364,86.62792,86.62792,35.27898,2.035703
0.4799998,B,0.4799998,0.1296436,0,0.5217368,0,1350.965,118.1346,2.392718,0,113.6306,126.458,2.095987,335.165555625836,334.467172151319,21.6254579390812,155.023307514554,154.753775040945,9.13755925550079,86.62085,86.62085,36.82652,2.125998
0.4899998,B,0.4899998,0.1325091,0,0.5217179,0,1352.168,118.0683,2.499426,0,113.598,126.458,2.101309,335.670221928225,334.968065755349,21.7000648262615,158.379956026716,158.103455623627,9.35455989891306,86.61391,86.61391,38.40755,2.218458
0.4999998,B,0.4999998,0.135379,0,0.521699,0,1353.371,118.002,2.608616,0,113.5655,126.458,2.106631,336.174960962775,335.469074595028,21.7739378312365,161.741651757056,161.458146294594,9.57229927235857,86.6071,86.6071,40.02214,2.313093
0.5099998,B,0.5099998,0.1382532,0,0.5216801,0,1354.565,117.9357,2.720297,0,113.5329,126.458,2.111953,336.677592327481,335.968021113952,21.8469669337638,165.108373680914,164.817826430639,9.79076893681303,86.60042,86.60042,41.67031,2.409908
0.5199998,B,0.5199998,0.1411317,0,0.5216611,0,1355.755,117.8692,2.834477,0,113.5003,126.458,2.117275,337.178783105498,336.465568910515,21.9192316067047,168.480107396838,168.182482044538,10.0099612479807,86.59386,86.59386,43.35214,2.508912
0.5299998,B,0.5299998,0.1440145,0,0.5216421,0,1356.944,117.8027,2.951168,0,113.4678,126.458,2.122597,337.680074835116,336.963255784584,21.9908433604181,171.856853909592,171.552114527067,10.2298696766695,86.58743,86.58743,45.06766,2.610111
0.5399998,B,0.5399998,0.1469017,0,0.5216231,0,1358.134,117.7362,3.07038,0,113.4352,126.458,2.127919,338.18156843753,337.461181077238,22.061833487343,175.238615214269,174.926726262411,10.4504880066117,86.5811,86.5811,46.81693,2.713513
0.5499998,B,0.5499998,0.1497933,0,0.5216041,0,1359.309,117.6695,3.192119,0,113.4026,126.458,2.133241,338.679173318457,337.955259883397,22.1319849272268,178.625352471526,178.306278785706,10.6718078509371,86.57487,86.57487,48.59999,2.819124
0.5599998,B,0.5599998,0.1526891,0,0.521585,0,1360.485,117.6029,3.316392,0,113.37,126.458,2.138563,339.176958930271,338.449553266282,22.2015621756863,182.017067436167,181.690774242719,10.8938234677315,86.56877,86.56877,50.4169,2.926952
0.5699998,B,0.5699998,0.1555892,0,0.521566,0,1361.661,117.5361,3.443215,0,113.3375,126.458,2.143885,339.674798504992,338.943934069314,22.2705701997755,185.413760706637,185.080213507652,11.1165291647514,86.56276,86.56276,52.2677,3.037004
0.5799997,B,0.5799997,0.1584937,0,0.5215469,0,1362.832,117.4694,3.572593,0,113.3049,126.458,2.149207,340.171264288241,339.43697575463,22.3389466629687,188.815418526573,188.474583189328,11.3399186263879,86.55684,86.55684,54.15245,3.149287
0.5899997,B,0.5899997,0.1614024,0,0.5215278,0,1363.994,117.4025,3.704534,0,113.2723,126.458,2.154529,340.665445990668,339.927768357967,22.4066595277685,192.222017997974,191.873860796928,11.5639852166573,86.55103,86.55103,56.07119,3.263806
0.5999997,B,0.5999997,0.1643154,0,0.5215087,0,1365.156,117.3356,3.839048,0,113.2398,126.458,2.159852,341.159708845729,340.41867222331,22.4738635179022,195.633560069444,195.278047443072,11.788723846813,86.5453,86.5453,58.02397,3.38057
